,Condition,Mouse,Compound,value,Tissue
562,Exercise,9,tryptophan,13.92974240699292,heart
563,Sedentary,10,tryptophan,13.155454078780712,heart
564,Exercise,11,tryptophan,13.912042357940896,heart
565,Sedentary,12,tryptophan,13.548201762002671,heart
566,Exercise,13,tryptophan,14.238928655082459,heart
567,Sedentary,14,tryptophan,13.28969061200079,heart
568,Exercise,15,tryptophan,13.38469837753686,heart
569,Sedentary,16,tryptophan,12.992345405438835,heart
570,Exercise,1,glutamine,38.91173686453007,heart
571,Sedentary,2,glutamine,35.34794540099556,heart
572,Exercise,3,glutamine,38.24685962918106,heart
573,Exercise,5,glutamine,38.69628494931806,heart
574,Sedentary,6,glutamine,41.50334199653316,heart
575,Exercise,7,glutamine,40.961958216810736,heart
576,Sedentary,8,glutamine,45.675798826147194,heart
577,Exercise,9,glutamine,28.38825131429391,heart
578,Sedentary,10,glutamine,38.33724398148405,heart
579,Exercise,11,glutamine,45.342121473820995,heart
580,Sedentary,12,glutamine,42.41512833357511,heart
581,Exercise,13,glutamine,40.9713782641823,heart
582,Sedentary,14,glutamine,37.50185930350533,heart
583,Exercise,15,glutamine,43.20967806018561,heart
584,Sedentary,16,glutamine,42.42661811497668,heart
585,Exercise,1,serine,11.070182523327869,heart
586,Sedentary,2,serine,10.721928961156426,heart
587,Exercise,3,serine,11.510331517993402,heart
588,Exercise,5,serine,11.16203616845895,heart
589,Sedentary,6,serine,11.612437821230316,heart
590,Exercise,7,serine,11.861094034444111,heart
591,Sedentary,8,serine,12.303143473292383,heart
592,Exercise,9,serine,10.756037420816998,heart
593,Sedentary,10,serine,10.951716915105045,heart
594,Exercise,11,serine,11.912532663574092,heart
595,Sedentary,12,serine,12.21787464705222,heart
596,Exercise,13,serine,11.900676822272017,heart
597,Sedentary,14,serine,11.278528033678892,heart
598,Exercise,15,serine,11.613460511679149,heart
599,Sedentary,16,serine,12.039335898935846,heart
600,Exercise,1,glycine,10.079578206714473,heart
601,Sedentary,2,glycine,9.632659683054847,heart
602,Exercise,3,glycine,10.14995004232614,heart
603,Exercise,5,glycine,9.77006756256119,heart
604,Sedentary,6,glycine,9.823651849579216,heart
605,Exercise,7,glycine,9.850238789690426,heart
606,Sedentary,8,glycine,9.771437895402146,heart
607,Exercise,9,glycine,10.305450322437673,heart
608,Sedentary,10,glycine,9.632808000600756,heart
609,Exercise,11,glycine,9.75188883671428,heart
610,Sedentary,12,glycine,9.733774838239494,heart
611,Exercise,13,glycine,10.14388780754633,heart
612,Sedentary,14,glycine,9.77528130095707,heart
613,Exercise,15,glycine,9.685408944684609,heart
614,Sedentary,16,glycine,9.4269987456193,heart
615,Exercise,1,proline,12.417340929448525,heart
616,Sedentary,2,proline,11.273187066571756,heart
617,Exercise,3,proline,12.167419869323789,heart
618,Exercise,5,proline,11.938869928059088,heart
619,Sedentary,6,proline,12.375300106465884,heart
620,Exercise,7,proline,12.680960326854688,heart
621,Sedentary,8,proline,12.544064604451547,heart
622,Exercise,9,proline,11.681660785401107,heart
623,Sedentary,10,proline,11.170983839243522,heart
624,Exercise,11,proline,12.275756938790309,heart
625,Sedentary,12,proline,12.171807150950285,heart
626,Exercise,13,proline,13.149612262888702,heart
627,Sedentary,14,proline,11.582475315744322,heart
628,Exercise,15,proline,11.91755865126603,heart
629,Sedentary,16,proline,12.071532794495067,heart
630,Exercise,1,ADP,17.287509676762667,heart
631,Sedentary,2,ADP,17.90469700955977,heart
632,Exercise,3,ADP,18.43385766660435,heart
633,Exercise,5,ADP,18.479715824947245,heart
634,Sedentary,6,ADP,17.86243177300419,heart
635,Exercise,7,ADP,16.467534845787366,heart
636,Sedentary,8,ADP,18.88246160982302,heart
637,Exercise,9,ADP,15.060746423991928,heart
638,Sedentary,10,ADP,19.290524661878177,heart
639,Exercise,11,ADP,16.196399101909467,heart
640,Sedentary,12,ADP,18.45300242863933,heart
641,Exercise,13,ADP,16.285446846014583,heart
642,Sedentary,14,ADP,17.14237260685774,heart
643,Exercise,15,ADP,17.236846508010874,heart
644,Sedentary,16,ADP,18.570220021521326,heart
645,Exercise,1,AMP,20.364870572967686,heart
646,Sedentary,2,AMP,24.387882808360757,heart
647,Exercise,3,AMP,19.509912644904382,heart
648,Exercise,5,AMP,20.002962332220616,heart
649,Sedentary,6,AMP,25.080707260576478,heart
650,Exercise,7,AMP,27.377951915687916,heart
651,Sedentary,8,AMP,27.947096955451684,heart
652,Exercise,9,AMP,19.654854606436558,heart
653,Sedentary,10,AMP,27.716160270118262,heart
654,Exercise,11,AMP,23.220714188723633,heart
655,Sedentary,12,AMP,24.43721894058236,heart
656,Exercise,13,AMP,27.344509137355473,heart
657,Sedentary,14,AMP,27.269349777490206,heart
658,Exercise,15,AMP,18.647719395285296,heart
659,Sedentary,16,AMP,23.67512871288536,heart
705,Exercise,1,NADPH,6.533873638254049,heart
706,Sedentary,2,NADPH,5.823470719698265,heart
707,Exercise,3,NADPH,6.0894819608597786,heart
708,Exercise,5,NADPH,6.313744991165771,heart
709,Sedentary,6,NADPH,6.4053203516358295,heart
710,Exercise,7,NADPH,0.0,heart
711,Sedentary,8,NADPH,6.7064188959799935,heart
712,Exercise,9,NADPH,5.6634928421448825,heart
713,Sedentary,10,NADPH,6.860247011656084,heart
714,Exercise,11,NADPH,6.470033716718571,heart
715,Sedentary,12,NADPH,6.6968655927503296,heart
716,Exercise,13,NADPH,6.3375895435339515,heart
717,Sedentary,14,NADPH,6.734508749597302,heart
718,Exercise,15,NADPH,6.582062471821888,heart
719,Sedentary,16,NADPH,6.730164582874411,heart
720,Exercise,1,NADP,8.17588842331887,heart
721,Sedentary,2,NADP,8.388024282723178,heart
722,Exercise,3,NADP,8.569818519736897,heart
723,Exercise,5,NADP,8.154395977567127,heart
724,Sedentary,6,NADP,8.303968154526514,heart
725,Exercise,7,NADP,8.068602724326555,heart
726,Sedentary,8,NADP,8.742092991004593,heart
727,Exercise,9,NADP,7.677262513641312,heart
728,Sedentary,10,NADP,8.310487864057665,heart
729,Exercise,11,NADP,8.393551331260188,heart
730,Sedentary,12,NADP,8.308842420209777,heart
731,Exercise,13,NADP,8.302895454965263,heart
732,Sedentary,14,NADP,8.136072337406818,heart
733,Exercise,15,NADP,8.43398447263942,heart
734,Sedentary,16,NADP,8.178676451241389,heart
735,Exercise,1,NAD,17.302425577697278,heart
736,Sedentary,2,NAD,16.20069870228667,heart
737,Exercise,3,NAD,16.62240604318685,heart
738,Exercise,5,NAD,16.64287493562466,heart
739,Sedentary,6,NAD,16.543448730210528,heart
740,Exercise,7,NAD,16.122029528335545,heart
741,Sedentary,8,NAD,16.55920837710144,heart
742,Exercise,9,NAD,15.785143993833687,heart
743,Sedentary,10,NAD,16.39720109253579,heart
744,Exercise,11,NAD,16.27430114760581,heart
745,Sedentary,12,NAD,16.637756606119055,heart
746,Exercise,13,NAD,16.54287810991478,heart
747,Sedentary,14,NAD,16.614730139460384,heart
748,Exercise,15,NAD,17.31716353917775,heart
749,Sedentary,16,NAD,16.277031760287404,heart
750,Exercise,1,NADH,12.984431860874171,heart
751,Sedentary,2,NADH,12.227297708530728,heart
752,Exercise,3,NADH,14.254803771090064,heart
