,Sample,Compound,APE,Plasma_Glutamine_APE,Condition,FC_Gln_Substrate,Tissue
45,4,proline,0.0008809719339815468,0.07726959114141162,Exercise,0.011401275986685033,kidney
46,5,proline,0.0006978566783467591,0.06733278000347986,Sedentary,0.010364293265638116,kidney
47,6,proline,0.0016002222287330409,0.07230068379896054,Exercise,0.022132878206001797,kidney
48,7,proline,0.0007774359605594039,0.10979942568510855,Sedentary,0.007080510264133768,kidney
49,8,proline,0.0009608016597320218,0.06888971763403963,Exercise,0.013946953082839646,kidney
50,9,proline,0.0010011264249460896,0.07486253314563235,Sedentary,0.013372863338708671,kidney
51,10,proline,0.00091227273592311,0.06796373840095314,Exercise,0.013422933425779828,kidney
52,11,proline,0.0009874292503364048,0.09491749002750353,Sedentary,0.010403027408860946,kidney
53,12,proline,0.0011848525592533508,0.12044116634955242,Exercise,0.009837604493256005,kidney
54,13,proline,0.0013029329802004127,0.09901828859596734,Exercise,0.013158508379364947,kidney
55,14,proline,0.0010940024343278714,0.09203006205264677,Sedentary,0.011887446448770574,kidney
56,1,succinate,0.01813602171741347,0.10346535695772785,Exercise,0.17528593386889085,kidney
57,2,succinate,0.0032253742743432214,0.07938803593591716,Sedentary,0.04062796410465144,kidney
58,3,succinate,0.009382895770754405,0.1294206661597859,Exercise,0.07249920780943944,kidney
59,4,succinate,0.0115306930382538,0.07726959114141162,Exercise,0.149226789839633,kidney
60,5,succinate,0.01645838874850167,0.06733278000347986,Sedentary,0.244433524765368,kidney
61,6,succinate,0.016316536287351153,0.07230068379896054,Exercise,0.22567609917384673,kidney
62,7,succinate,0.01035455347020736,0.10979942568510855,Sedentary,0.09430425893030593,kidney
63,8,succinate,0.003134973388633184,0.06888971763403963,Exercise,0.04550713076350509,kidney
64,9,succinate,0.008078035890490602,0.07486253314563235,Sedentary,0.10790492321140342,kidney
65,10,succinate,0.009329677495528717,0.06796373840095314,Exercise,0.13727434239252906,kidney
66,11,succinate,0.009324084482419798,0.09491749002750353,Sedentary,0.09823357612720299,kidney
67,12,succinate,0.010186963164337415,0.12044116634955242,Exercise,0.08458040944881029,kidney
68,13,succinate,0.00923274911810216,0.09901828859596734,Exercise,0.09324286704020228,kidney
69,14,succinate,0.008918196413144218,0.09203006205264677,Sedentary,0.09690525263410633,kidney
